year,district,code,location,robbery,street_robbery,injury,agg_assault,threat,theft,car,from_car,bike,burglary,fire,arson,damage,graffiti,drugs,local
2012,Treptow-Köpenick,90208,spindlersfeld,9,2,122,29,30,389,11,44,74,14,15,2,191,56,17,265
2012,Treptow-Köpenick,90309,altglienicke,11,6,149,22,73,539,34,108,93,71,9,2,175,36,14,311
2012,Treptow-Köpenick,90310,bohnsdorf,2,0,61,11,29,340,18,58,37,27,8,1,93,24,13,134
2012,Treptow-Köpenick,90311,gruenau,3,0,31,11,11,242,4,65,63,21,2,1,77,32,3,84
2012,Treptow-Köpenick,90312,schmoeckwitz,0,0,13,3,3,146,2,53,4,14,3,3,31,9,0,24
2012,Treptow-Köpenick,90312,karolinenhof,0,0,13,3,3,146,2,53,4,14,3,3,31,9,0,24
2012,Treptow-Köpenick,90312,rauchfangswerder,0,0,13,3,3,146,2,53,4,14,3,3,31,9,0,24
2012,Treptow-Köpenick,90413,koepenicksouth,2,0,65,9,20,401,18,112,68,12,8,3,135,10,7,174
2012,Treptow-Köpenick,90414,allendeviertel,2,0,37,6,26,194,12,31,36,3,1,0,66,15,2,100
2012,Treptow-Köpenick,90415,altstadtkietz,4,0,75,15,21,224,5,27,57,5,5,3,123,37,10,173
2012,Treptow-Köpenick,90416,mueggelheim,1,1,10,0,13,113,7,41,21,8,1,1,46,2,1,43
2012,Treptow-Köpenick,90517,friedrichshagen,9,2,64,11,28,516,16,89,172,28,5,1,144,29,6,173
2012,Treptow-Köpenick,90518,rahnsdorf,2,1,26,7,8,290,15,51,105,44,2,0,41,3,2,56
2012,Treptow-Köpenick,90518,hessenwinkel,2,1,26,7,8,290,15,51,105,44,2,0,41,3,2,56
2012,Treptow-Köpenick,90519,dammvorstadt,7,4,122,30,21,568,9,43,93,12,13,7,148,33,35,244
2012,Treptow-Köpenick,90520,koepenicknorth,5,2,45,9,20,245,4,42,43,33,3,0,88,14,6,118
2012,Treptow-Köpenick,99900,bezirk_(tpkp),3,1,104,36,23,320,2,26,14,0,3,3,376,293,7,161
2012,Marzahn-Hellersdorf,100101,marzahnnorth,35,14,442,89,104,751,34,123,97,31,33,10,353,55,49,811
2012,Marzahn-Hellersdorf,100102,marzahncentral,70,30,721,131,204,2109,104,416,145,50,49,20,624,59,77,1460
2012,Marzahn-Hellersdorf,100103,marzahnsouth,55,20,295,61,91,1534,135,372,119,41,37,19,411,81,19,648
2012,Marzahn-Hellersdorf,100204,hellersdorfnorth,68,37,652,143,175,1576,46,230,133,28,57,16,640,173,70,1199
2012,Marzahn-Hellersdorf,100205,hellersdorfeast,26,11,289,70,101,598,21,89,122,10,30,5,336,86,21,630
2012,Marzahn-Hellersdorf,100206,hellersdorfsouth,20,10,223,44,95,704,35,119,78,26,20,3,322,97,15,541
2012,Marzahn-Hellersdorf,100307,biesdorf,20,10,141,31,55,1153,36,213,192,97,9,1,213,45,21,287
2012,Marzahn-Hellersdorf,100408,kaulsdorf,21,9,110,15,39,465,17,89,89,77,2,1,150,27,8,251
2012,Marzahn-Hellersdorf,100409,mahlsdorf,6,4,89,20,49,607,20,117,89,97,4,2,268,87,23,250
2012,Marzahn-Hellersdorf,109900,bezirk_(mzhd),10,3,90,21,16,217,3,10,11,0,1,0,118,90,5,125
2012,Lichtenberg,110101,malchow,2,1,26,4,20,178,3,21,11,10,11,5,54,13,5,55
2012,Lichtenberg,110101,wartenberg_und_falkenberg,2,1,26,4,20,178,3,21,11,10,11,5,54,13,5,55
2012,Lichtenberg,110102,neuhohenschoenhausen_north,27,11,328,53,93,826,30,103,152,19,15,7,276,56,40,765
2012,Lichtenberg,110103,neuhohenschoenhausen_south,30,12,330,84,81,1027,42,128,99,30,20,3,290,35,21,718
2012,Lichtenberg,110204,althohenschoenhausen_north,11,4,134,34,42,770,18,120,40,59,7,3,150,30,12,314
2012,Lichtenberg,110205,althohenschoenhausen_south,26,10,234,48,74,1243,59,266,146,70,12,6,334,72,13,647
2012,Lichtenberg,110306,fennpfuhl,26,14,284,77,90,1232,67,243,187,89,17,8,419,90,22,748
2012,Lichtenberg,110307,altlichtenberg,25,10,350,81,119,2071,58,328,194,76,26,11,377,75,35,818
2012,Lichtenberg,110308,frankfurter_allee_south,19,6,67,18,16,578,24,96,111,25,6,2,105,12,52,200
2012,Lichtenberg,110409,neu_lichtenberg,27,16,284,68,95,1286,53,150,174,83,30,9,428,128,62,734
2012,Lichtenberg,110410,friedrichsfelde_north,22,15,174,43,41,683,30,159,39,38,7,2,202,64,24,379
2012,Lichtenberg,110411,friedrichsfelde_south,28,9,159,34,54,790,41,142,88,60,10,3,225,61,17,402
2012,Lichtenberg,110512,rummelsburger_bucht,4,0,18,6,7,227,4,69,48,7,16,6,67,20,2,60
2012,Lichtenberg,110513,karlshorst,8,3,95,18,41,694,15,137,124,63,8,2,180,60,24,273
2012,Lichtenberg,119900,bezirk_(lb),5,1,87,18,16,306,1,17,5,3,2,0,248,180,6,139
2012,Reinickendorf,121031,east_1_reginhardstr.,60,21,400,101,169,1119,38,205,179,110,11,4,337,34,137,939
2012,Reinickendorf,121032,east_2_altreinickendorf,50,18,290,63,128,1525,37,301,215,79,22,10,324,53,149,721
2012,Reinickendorf,122141,west_1_tegelsouth,11,3,271,73,111,1556,36,406,68,105,12,1,285,27,312,644
2012,Reinickendorf,122141,flughafensee,11,3,271,73,111,1556,36,406,68,105,12,1,285,27,312,644
2012,Reinickendorf,122144,west_4_augusteviktoriaallee,49,19,376,96,169,1353,27,205,107,103,15,8,328,47,86,867
2012,Reinickendorf,122145,west_5_tegel,24,14,233,67,61,1041,9,109,106,32,7,0,219,47,34,434
2012,Reinickendorf,122145,tegeler_forst,24,14,233,67,61,1041,9,109,106,32,7,0,219,47,34,434
2012,Reinickendorf,122242,west_2_heiligensee,8,3,89,10,64,567,43,175,93,96,11,6,299,114,24,284
2012,Reinickendorf,122242,konradshoehe,8,3,89,10,64,567,43,175,93,96,11,6,299,114,24,284
2012,Reinickendorf,122311,north_1_frohnau,20,8,116,30,72,1059,50,293,250,155,7,4,250,57,40,340
2012,Reinickendorf,122311,hermsdorf,20,8,116,30,72,1059,50,293,250,155,7,4,250,57,40,340
2012,Reinickendorf,123012,north_2_waidmannslust,38,12,332,79,115,1464,30,256,195,110,16,4,356,81,103,672
2012,Reinickendorf,123012,wittenau,38,12,332,79,115,1464,30,256,195,110,16,4,356,81,103,672
2012,Reinickendorf,123012,luebars,38,12,332,79,115,1464,30,256,195,110,16,4,356,81,103,672
2012,Reinickendorf,123021,mv_1_maerkisches_viertel,51,21,490,126,199,2013,65,305,173,99,74,18,505,72,76,1306
2012,Reinickendorf,123022,mv_2_rollbergsiedlung,9,2,103,21,32,429,8,75,30,29,7,1,101,10,18,229
2012,Reinickendorf,123043,west_3_borsigwalde,15,9,145,37,59,618,24,123,121,67,5,2,167,20,40,328
2012,Reinickendorf,123043,freie_scholle,15,9,145,37,59,618,24,123,121,67,5,2,167,20,40,328
2012,Reinickendorf,129900,bezirk_(rd),2,1,31,10,12,154,2,11,3,0,6,5,124,73,5,51
